0	0	-0.62	0.86
0	1	-0.59	0.84
0	2	-0.55	0.86
0	3	-0.57	0.86
1	0	-0.58	0.85
1	1	-0.58	0.85
1	2	-0.55	0.86
1	3	-0.60	0.86
2	0	-0.59	0.85
2	1	-0.68	0.79
2	2	-0.60	0.85
2	3	-0.60	0.85
3	0	-0.56	0.85
3	1	-0.59	0.84
3	2	-0.58	0.84
3	3	-0.57	0.85
4	0	-0.61	0.81
4	1	-0.61	0.80
4	2	-0.59	0.81
4	3	-0.60	0.81
5	0	0.00	0.00
5	1	0.00	0.00
5	2	0.00	0.00
5	3	0.00	0.00
6	0	-0.58	0.84
6	1	-0.63	0.82
6	2	-0.63	0.84
6	3	-0.58	0.85
7	0	-0.59	0.85
7	1	-0.76	0.75
7	2	-0.70	0.78
7	3	-0.60	0.84
8	0	-0.60	0.85
8	1	-0.58	0.85
8	2	-0.57	0.85
8	3	-0.61	0.85
9	0	-0.54	0.85
9	1	-0.57	0.85
9	2	-0.64	0.83
9	3	-0.60	0.83
10	0	-0.56	0.85
10	1	-0.58	0.84
10	2	-0.57	0.85
10	3	-0.56	0.86
11	0	-0.56	0.85
11	1	-0.56	0.85
11	2	-0.60	0.85
11	3	-0.55	0.85
